,Year,Month,Canada,Colombia,South Korea,Philippines
0,2010,1,649545.00,,569453.00,298119.00
1,2010,2,761479.00,,638911.00,269081.00
2,2010,3,823053.00,,769894.00,308326.00
3,2010,4,949970.00,,730265.00,277672.00
4,2010,5,1366787.00,,729450.00,283537.00
5,2010,6,1951667.00,,718440.00,276551.00
6,2010,7,2677305.00,,754672.00,325716.00
7,2010,8,2369738.00,,833693.00,291582.00
8,2010,9,1698326.00,,764693.00,247191.00
9,2010,10,1187626.00,,872550.00,267798.00
10,2010,11,778339.00,,738271.00,281313.00
11,2010,12,1005564.00,,677366.00,393585.00
0,2011,1,666180.00,,586152.00,349713.00
1,2011,2,689362.00,,667089.00,318912.00
2,2011,3,778041.00,,781286.00,320876.00
3,2011,4,976554.00,,754458.00,317443.00
4,2011,5,1370367.00,,743464.00,302707.00
5,2011,6,1992719.00,,795850.00,309749.00
6,2011,7,2609840.00,,881809.00,360784.00
7,2011,8,2277843.00,,977296.00,323491.00
8,2011,9,1697414.00,,906813.00,284040.00
9,2011,10,1150888.00,,988320.00,298151.00
10,2011,11,770596.00,,869876.00,337021.00
11,2011,12,1036181.00,,842383.00,394567.00
0,2012,1,677195.00,,753793.00,411064.00
1,2012,2,746576.00,,810967.00,361925.00
2,2012,3,848204.00,,916357.00,375083.00
3,2012,4,997710.00,,967593.00,349779.00
4,2012,5,1392656.00,,942602.00,321930.00
5,2012,6,2067634.00,,946333.00,323725.00
6,2012,7,2496973.00,,1009225.00,376948.00
7,2012,8,2448592.00,,1103311.00,337894.00
8,2012,9,1658228.00,,986961.00,291637.00
9,2012,10,1156979.00,,1025705.00,328300.00
10,2012,11,790314.00,,842189.00,352438.00
11,2012,12,1062952.00,,834992.00,442088.00
0,2013,1,662461.00,128979.00,753655.00,436079.00
1,2013,2,719951.00,148556.00,815037.00,418108.00
2,2013,3,893190.00,132298.00,1010809.00,417392.00
3,2013,4,874078.00,124500.00,972164.00,377879.00
4,2013,5,1376691.00,120885.00,919355.00,362062.00
5,2013,6,1970078.00,148701.00,1059082.00,369073.00
6,2013,7,2492800.00,167164.00,1205152.00,418288.00
7,2013,8,2531635.00,153733.00,1358909.00,382022.00
8,2013,9,1583840.00,136144.00,1156913.00,328114.00
9,2013,10,1139050.00,140026.00,1087974.00,358369.00
10,2013,11,788045.00,150153.00,907901.00,361271.00
11,2013,12,1027523.00,175161.00,928599.00,452650.00
0,2014,1,679953.00,150805.00,842671.00,461383.00
1,2014,2,701868.00,151978.00,886026.00,422631.00
2,2014,3,789517.00,155528.00,1132155.00,425858.00
3,2014,4,975844.00,142997.00,1251374.00,386665.00
4,2014,5,1435370.00,143554.00,1239606.00,364598.00
5,2014,6,1998425.00,152142.00,1273627.00,372293.00
6,2014,7,2582489.00,184923.00,1354753.00,428144.00
