Unnamed: 0,Year,Month,Dominican Republic,Singapore,South Africa,United Kingdom
0,2013,1,423600.0,994890.0,850759.0,2290000.0
1,2013,2,422741.0,876447.0,715769.0,2019000.0
2,2013,3,500712.0,965650.0,815075.0,2245000.0
3,2013,4,388585.0,907970.0,803475.0,2960000.0
4,2013,5,329422.0,921630.0,699658.0,3152000.0
5,2013,6,395802.0,935645.0,677085.0,3000000.0
6,2013,7,470241.0,1045830.0,789168.0,3356000.0
7,2013,8,376465.0,1117693.0,829021.0,3639000.0
8,2013,9,249431.0,856470.0,783933.0,2879000.0
9,2013,10,283762.0,903709.0,794494.0,3072000.0
10,2013,11,358990.0,857434.0,835196.0,2481000.0
11,2013,12,490019.0,930286.0,942935.0,2474000.0
0,2015,1,482982.0,976793.0,877712.0,2640000.0
1,2015,2,478780.0,888239.0,681216.0,2281000.0
2,2015,3,537640.0,906118.0,733241.0,2615000.0
3,2015,4,461962.0,880732.0,719557.0,3115000.0
4,2015,5,416984.0,940600.0,685407.0,3598000.0
5,2015,6,480415.0,903524.0,610092.0,3276000.0
6,2015,7,568323.0,1129191.0,732891.0,3689000.0
7,2015,8,465806.0,1157091.0,731248.0,3709000.0
8,2015,9,329482.0,833768.0,716750.0,3114000.0
9,2015,10,370480.0,941243.0,748561.0,3522000.0
10,2015,11,423252.0,909283.0,774378.0,2660000.0
11,2015,12,583753.0,949120.0,892720.0,2573000.0
0,2016,1,519977.0,1110386.0,1012641.0,2857000.0
1,2016,2,519090.0,1016528.0,803770.0,2514000.0
2,2016,3,565362.0,1019826.0,904594.0,2827000.0
3,2016,4,484797.0,1015602.0,795919.0,3059000.0
4,2016,5,437338.0,1055264.0,760749.0,3672000.0
5,2016,6,516590.0,960460.0,691414.0,3406000.0
6,2016,7,619724.0,1243703.0,822416.0,3877000.0
7,2016,8,502320.0,1194856.0,833638.0,3854000.0
8,2016,9,359063.0,855528.0,793610.0,3161000.0
9,2016,10,392693.0,944963.0,850956.0,3535000.0
10,2016,11,435547.0,909899.0,809349.0,3258000.0
11,2016,12,606846.0,1021800.0,965107.0,3107000.0
0,2018,1,566797.0,1247338.0,1103940.0,2734127.24
1,2018,2,559979.0,1159062.0,802252.0,2572505.93
2,2018,3,667545.0,1165002.0,882749.0,3240039.95
3,2018,4,553499.0,1169171.0,866894.0,3403904.85
4,2018,5,506178.0,1143901.0,767330.0,3613684.65
5,2018,6,586807.0,1159161.0,729374.0,3503299.21
6,2018,7,665669.0,1365302.0,855906.0,4172403.07
7,2018,8,537575.0,1346806.0,876926.0,4126496.07
8,2018,9,365368.0,1067498.0,842361.0,3237412.9
9,2018,10,414982.0,1129958.0,862046.0,3491394.37
10,2018,11,485481.0,1052997.0,875172.0,3112482.84
11,2018,12,659008.0,1036343.0,1007155.0,3075451.54
0,2019,1,598198.0,1298700.0,1068190.0,2830273.95
1,2019,2,604977.0,1146001.0,797181.0,2372395.44
2,2019,3,672969.0,1182833.0,838696.0,3129273.78
3,2019,4,584279.0,1161076.0,903059.0,3198504.78
4,2019,5,527732.0,1152537.0,753517.0,3438455.71
5,2019,6,587143.0,1184579.0,734554.0,3727300.61
6,2019,7,591348.0,1393728.0,790187.0,4154550.65
7,2019,8,497390.0,1397737.0,896978.0,4417866.67
8,2019,9,323662.0,1116610.0,780381.0,3291710.59
9,2019,10,372205.0,1170686.0,834275.0,3730958.03
10,2019,11,461865.0,1143913.0,850537.0,3121100.55
11,2019,12,624268.0,1211442.0,981038.0,3445057.23
0,2020,1,557231.0,1366120.0,1093266.0,3036130.69
1,2020,2,565179.0,577776.0,800815.0,2512354.97
2,2020,3,270049.0,190594.0,535094.0,1445731.43
3,2020,4,217.0,4781.0,0.0,95162.98
4,2020,5,394.0,3736.0,0.0,126621.24
5,2020,6,1021.0,4463.0,0.0,176435.8
6,2020,7,135163.0,3090.0,0.0,632707.3
7,2020,8,110284.0,2608.0,0.0,993012.46
8,2020,9,103942.0,1732.0,0.0,696495.91
9,2020,10,138276.0,2002.0,73988.0,569639.13
10,2020,11,175095.0,2504.0,101096.0,357729.83
11,2020,12,348464.0,4634.0,198059.0,458485.4
0,2021,1,205311.0,5396.0,139134.0,82000.0
1,2021,2,198485.0,3796.0,90165.0,86000.0
2,2021,3,313289.0,5257.0,157638.0,78000.0
3,2021,4,327074.0,5700.0,177251.0,81000.0
4,2021,5,390948.0,6290.0,183347.0,107000.0
5,2021,6,462536.0,4729.0,178727.0,158000.0
6,2021,7,563987.0,5177.0,151264.0,330740.62
7,2021,8,476575.0,4832.0,185637.0,759000.75
8,2021,9,365540.0,4762.0,205948.0,949258.63
9,2021,10,443018.0,6064.0,247833.0,1103216.5
10,2021,11,519215.0,9693.0,275647.0,1610370.49
11,2021,12,728335.0,22164.0,263108.0,1039413.0
0,2022,1,530957.36,28520.0,377651.0,838621.16
1,2022,2,566234.88,33154.0,310173.0,1044838.44
2,2022,3,617756.05,63454.0,359734.0,1859190.4
3,2022,4,626010.75,182996.0,431376.0,2251926.06
4,2022,5,561323.16,344559.0,407262.0,2728091.03
5,2022,6,644864.07,410289.0,399550.0,2977356.04
6,2022,7,735064.18,557742.0,507824.0,3444971.36
7,2022,8,621953.3,559858.0,555832.0,3544746.87
8,2022,9,430134.5,556521.0,539202.0,2956353.51
9,2022,10,491796.13,669418.0,565862.0,3321632.52
10,2022,11,571384.05,629175.0,565758.0,3238353.14
11,2022,12,765935.22,649688.0,677838.0,3037638.46
0,2023,1,674750.21,746546.0,849675.0,2898000.0
1,2023,2,661098.68,701763.0,613432.0,2192000.0
2,2023,3,740309.82,752114.0,658704.0,2596000.0
3,2023,4,681574.36,815653.0,713470.0,3126000.0
4,2023,5,621588.85,868963.0,630100.0,3300000.0
5,2023,6,707314.98,831652.0,608319.0,3479000.0
6,2023,7,793026.99,1096363.0,692068.0,4012000.0
7,2023,8,665124.65,1059386.0,708159.0,3810000.0
8,2023,9,478832.21,828502.0,684161.0,3106000.0
9,2023,10,531048.05,884260.0,731108.0,3715000.0
10,2023,11,636431.9,816283.0,731677.0,2795000.0
11,2023,12,867570.41,849478.0,862460.0,2931000.0
0,2024,1,742228.81,1072181.0,971846.0,
1,2024,2,755831.83,1062453.0,725674.0,
2,2024,3,836501.64,1116032.0,750968.0,
3,2024,4,704224.71,988487.0,702021.0,
4,2024,5,677475.34,963985.0,649454.0,
