Unnamed: 0,Year,Month,Finland,Hungary,India,Malaysia
0,2010,1,177622.0,,568719.0,1896918.0
1,2010,2,138039.0,,552152.0,1832300.0
2,2010,3,154293.0,1713000.0,512152.0,2022590.0
3,2010,4,114704.0,,371956.0,1877934.0
4,2010,5,161974.0,,332087.0,1992277.0
5,2010,6,250122.0,2392000.0,384642.0,2246084.0
6,2010,7,342739.0,,466715.0,2214092.0
7,2010,8,317979.0,,422173.0,2099485.0
8,2010,9,176119.0,3251000.0,369821.0,2053406.0
9,2010,10,145655.0,,507093.0,2137735.0
10,2010,11,153651.0,,608178.0,2081354.0
11,2010,12,185815.0,2155000.0,680004.0,2123021.0
0,2011,1,201306.0,,622713.0,1918751.0
1,2011,2,146016.0,,627719.0,1669288.0
2,2011,3,178762.0,1838000.0,535613.0,1952343.0
3,2011,4,147326.0,,446511.0,1891350.0
4,2011,5,181257.0,,383439.0,1892095.0
5,2011,6,288117.0,2575000.0,405464.0,2039035.0
6,2011,7,378387.0,,475544.0,2406100.0
7,2011,8,354061.0,,428490.0,2166937.0
8,2011,9,203413.0,3564000.0,417478.0,2094104.0
9,2011,10,165715.0,,559641.0,2189014.0
10,2011,11,164152.0,,669767.0,2225534.0
11,2011,12,214074.0,2272000.0,736843.0,2269773.0
0,2012,1,228248.0,,681002.0,1817061.0
1,2012,2,177107.0,,681193.0,1773471.0
2,2012,3,202418.0,1890000.0,606456.0,1972006.0
3,2012,4,157333.0,,447581.0,1924129.0
4,2012,5,201448.0,,374476.0,1951925.0
5,2012,6,303335.0,2648000.0,433390.0,2193886.0
6,2012,7,380852.0,,485808.0,2306675.0
7,2012,8,349886.0,,445632.0,2240687.0
8,2012,9,209322.0,3507000.0,411562.0,1973803.0
9,2012,10,170244.0,,556488.0,2205979.0
10,2012,11,175305.0,,701185.0,2236473.0
11,2012,12,222966.0,2309000.0,752972.0,2436613.0
0,2013,1,226899.0,,720321.0,2070394.0
1,2013,2,181675.0,,688569.0,2002709.0
2,2013,3,203151.0,1976000.0,639530.0,2376295.0
3,2013,4,155953.0,,450580.0,1984982.0
4,2013,5,212418.0,,417453.0,2044039.0
5,2013,6,291368.0,2714000.0,451223.0,2074312.0
6,2013,7,376048.0,,506427.0,2129393.0
7,2013,8,349524.0,,486338.0,1980960.0
8,2013,9,209732.0,3448000.0,453561.0,2093392.0
9,2013,10,164761.0,,598095.0,2106569.0
10,2013,11,186919.0,,733923.0,2045850.0
11,2013,12,238391.0,2486000.0,821581.0,2806565.0
0,2014,1,237737.0,,757786.0,2447397.0
1,2014,2,178530.0,,755678.0,2118540.0
2,2014,3,200881.0,2191000.0,690441.0,2525496.0
3,2014,4,150453.0,,535321.0,2175009.0
4,2014,5,207692.0,,465043.0,2266417.0
5,2014,6,303399.0,2854000.0,502028.0,2342187.0
6,2014,7,361239.0,,568871.0,2229920.0
7,2014,8,349546.0,,575750.0,2273271.0
8,2014,9,200510.0,4184000.0,509142.0,2233545.0
9,2014,10,163203.0,,668398.0,2247666.0
10,2014,11,170336.0,,765497.0,2130022.0
11,2014,12,207674.0,2910000.0,885144.0,2447845.0
0,2015,1,185117.0,,790854.0,2291603.0
1,2015,2,167537.0,,761007.0,1949016.0
2,2015,3,178859.0,2497000.0,729154.0,2242077.0
3,2015,4,142289.0,,541551.0,2071922.0
4,2015,5,190889.0,,509869.0,2118890.0
5,2015,6,284975.0,3431000.0,512341.0,1893792.0
6,2015,7,377602.0,,628323.0,2216049.0
7,2015,8,334883.0,,599478.0,2182536.0
8,2015,9,201152.0,5061000.0,542600.0,2084339.0
9,2015,10,164149.0,,683286.0,2082866.0
10,2015,11,163327.0,,815947.0,2004694.0
11,2015,12,231260.0,3327000.0,912723.0,2583467.0
0,2016,1,202544.0,,844533.0,2376166.0
1,2016,2,198881.0,,848782.0,2091098.0
2,2016,3,182763.0,3030000.0,809107.0,2198716.0
3,2016,4,146253.0,,592004.0,2101280.0
4,2016,5,198571.0,,527466.0,2144119.0
5,2016,6,298936.0,3746000.0,546972.0,2121396.0
6,2016,7,375474.0,,733834.0,2296615.0
7,2016,8,345107.0,,652111.0,2282173.0
8,2016,9,215415.0,4997000.0,608177.0,2118367.0
9,2016,10,166313.0,,741770.0,2326487.0
10,2016,11,179153.0,,878280.0,2054165.0
11,2016,12,279493.0,3483000.0,1021375.0,2646810.0
0,2017,1,240418.0,,964109.0,2350270.0
1,2017,2,231359.0,,931025.0,2043215.0
2,2017,3,221769.0,2861000.0,885936.0,2238184.0
3,2017,4,169160.0,,717899.0,2145734.0
4,2017,5,217609.0,,622408.0,2039016.0
5,2017,6,343933.0,3779000.0,663470.0,2134647.0
6,2017,7,423155.0,,779309.0,2263478.0
7,2017,8,391776.0,,719129.0,2129013.0
8,2017,9,238208.0,5320000.0,719964.0,2092378.0
9,2017,10,182631.0,,866976.0,2068995.0
10,2017,11,202543.0,,997738.0,2007965.0
11,2017,12,317693.0,3825000.0,1167840.0,2435564.0
0,2018,1,260618.0,,1045027.0,2276750.0
1,2018,2,247018.0,,1049259.0,2050613.0
2,2018,3,241207.0,3209000.0,1021539.0,2192855.0
3,2018,4,174820.0,,745033.0,1957248.0
4,2018,5,213104.0,,606513.0,1976981.0
5,2018,6,330297.0,4443000.0,683935.0,2275921.0
6,2018,7,396765.0,,806493.0,2305324.0
7,2018,8,382371.0,,785993.0,2253534.0
8,2018,9,234666.0,6133000.0,719894.0,2096889.0
9,2018,10,198553.0,,890223.0,2103975.0
10,2018,11,205421.0,,1012569.0,1989842.0
11,2018,12,339324.0,3367000.0,1191498.0,2352422.0
0,2019,1,264173.0,,1111040.0,2195684.0
1,2019,2,254777.0,,1090516.0,2165933.0
2,2019,3,243820.0,3333000.0,978236.0,2334613.0
3,2019,4,170747.0,,774651.0,2159517.0
4,2019,5,229789.0,,615136.0,2098267.0
5,2019,6,333706.0,4068000.0,726446.0,2400561.0
6,2019,7,396315.0,,818125.0,2415097.0
7,2019,8,388413.0,,800837.0,2342438.0
8,2019,9,252744.0,5782000.0,751513.0,1997093.0
9,2019,10,209669.0,,945017.0,2031198.0
10,2019,11,207208.0,,1092440.0,1969315.0
11,2019,12,338877.0,3754000.0,1226398.0,1991068.0
0,2020,1,287981.0,,1119250.0,2164459.0
1,2020,2,249473.0,,1018440.0,1397912.0
2,2020,3,102267.0,2831000.0,328304.0,671084.0
3,2020,4,3596.0,,2820.0,7546.0
4,2020,5,4868.0,,3764.0,5411.0
5,2020,6,20857.0,587000.0,8590.0,6585.0
6,2020,7,62871.0,,12655.0,18660.0
7,2020,8,66854.0,,19761.0,11631.0
8,2020,9,30617.0,2566000.0,28167.0,16131.0
9,2020,10,23423.0,,41494.0,11315.0
10,2020,11,22274.0,,70977.0,11420.0
11,2020,12,20496.0,1434000.0,90544.0,10568.0
0,2021,1,18778.0,,83822.0,8012.0
1,2021,2,17566.0,,99640.0,7599.0
2,2021,3,13856.0,911000.0,123179.0,9645.0
3,2021,4,14931.0,,110819.0,9742.0
4,2021,5,21481.0,,19765.0,9156.0
5,2021,6,33361.0,1677000.0,36070.0,6459.0
6,2021,7,83039.0,,72501.0,6203.0
7,2021,8,116504.0,,92728.0,8062.0
8,2021,9,86179.0,3242000.0,115661.0,8431.0
9,2021,10,83091.0,,191415.0,10684.0
10,2021,11,112455.0,,263867.0,14722.0
11,2021,12,205721.0,2100000.0,317647.0,36013.0
0,2022,1,107190.0,,201546.0,29797.0
1,2022,2,120172.0,,240896.0,26760.0
2,2022,3,138697.0,2199000.0,342308.0,41496.0
3,2022,4,96906.0,,392930.0,392059.0
4,2022,5,139300.0,,423701.0,670474.0
5,2022,6,199453.0,3142000.0,522737.0,971574.0
6,2022,7,271034.0,,777651.0,1076218.0
7,2022,8,271414.0,,524756.0,1102625.0
8,2022,9,196944.0,4309000.0,551580.0,1245278.0
9,2022,10,139521.0,,677055.0,1344091.0
10,2022,11,163782.0,,789330.0,1330700.0
11,2022,12,283062.0,2999000.0,992977.0,1839892.0
0,2023,1,201906.0,,868160.0,1496308.0
1,2023,2,201859.0,,865779.0,1298261.0
2,2023,3,195438.0,2475000.0,795827.0,1593033.0
3,2023,4,124859.0,,603985.0,1543063.0
4,2023,5,173198.0,,598480.0,1550491.0
5,2023,6,234167.0,3193000.0,648008.0,1678913.0
6,2023,7,296287.0,,760623.0,1821521.0
7,2023,8,295531.0,,643194.0,1717273.0
8,2023,9,189733.0,4410000.0,648213.0,1768174.0
9,2023,10,148173.0,,811411.0,1645241.0
10,2023,11,186109.0,,922265.0,1706190.0
11,2023,12,313263.0,2856000.0,1070163.0,2323378.0
0,2024,1,226465.0,,958733.0,
1,2024,2,246982.0,,1002664.0,
2,2024,3,220952.0,,2483000.0,859688.0
3,2024,4,129852.0,,650748.0,
4,2024,5,169801.0,,,
