,Year,Month,France,Greece,Italy
0,2010,1,1263647.0,274952.0,2250108.24
1,2010,2,1400719.0,296528.5,2378866.93
2,2010,3,1821099.0,408930.0,3030588.6
3,2010,4,2391684.0,563415.0,3401659.73
4,2010,5,3581194.0,1247893.0,4314069.31
5,2010,6,4031791.0,1863445.0,4578286.79
6,2010,7,6558029.0,2783843.0,5441255.14
7,2010,8,6261231.0,3155878.0,5080030.69
8,2010,9,3958086.0,2298412.0,4538249.94
9,2010,10,2419678.0,1316460.0,3581182.16
10,2010,11,1527709.0,458142.0,2687350.7
11,2010,12,1614677.0,339591.0,2344473.88
0,2011,1,1751807.0,362517.0,2400805.95
1,2011,2,1670974.0,333197.0,2269935.06
2,2011,3,2256707.0,412673.0,3176030.86
3,2011,4,2924114.0,669391.0,3627397.71
4,2011,5,3505695.0,1342966.0,4441177.86
5,2011,6,4824895.0,2183411.0,5182109.41
6,2011,7,7254247.0,2984058.0,5979033.82
7,2011,8,6730903.0,3352934.0,5498113.91
8,2011,9,4347369.0,2588707.0,4821219.38
9,2011,10,2776230.0,1428960.66,3859191.07
10,2011,11,1724931.0,423107.05,2612021.81
11,2011,12,2015358.0,345325.07,2251806.3
0,2012,1,1770105.0,352320.25,2549422.66
1,2012,2,1794695.0,266066.5,2363332.67
2,2012,3,2347947.0,360171.82,2987611.21
3,2012,4,2860907.0,625838.0,3732085.55
4,2012,5,3808709.0,1179714.08,4568750.1
5,2012,6,4787468.0,2043692.73,4644690.47
6,2012,7,7201181.0,2863095.39,5854221.03
7,2012,8,6642150.0,3269202.99,5903965.97
8,2012,9,4505315.0,2522887.66,4647020.73
9,2012,10,2856231.0,1310986.1,3986421.06
10,2012,11,1778370.0,392800.05,2769994.94
11,2012,12,2055190.0,330846.01,2352392.44
0,2013,1,1743431.0,365604.81,2617690.0
1,2013,2,1972944.0,295651.71,2472580.0
2,2013,3,2679487.0,362097.21,3051100.0
3,2013,4,2823653.0,557496.43,3648200.0
4,2013,5,4339808.0,1467134.3,4670600.0
5,2013,6,5256164.0,2372846.35,4896420.0
6,2013,7,7691191.0,3263920.75,6045960.0
7,2013,8,7528942.0,3885717.01,5909100.0
8,2013,9,4710713.0,2963438.61,5113870.0
9,2013,10,3039891.0,1547626.2,3933950.0
10,2013,11,1933201.0,435303.24,2790110.0
11,2013,12,2282067.0,402743.67,2554340.0
