,Year,Month,Netherlands,New Zealand,Norway,Portugal
0,2010,1,550400.0,256652.0,89874.0,267621.0
1,2010,2,611200.0,267855.0,117764.0,315719.0
2,2010,3,785100.0,243263.0,122535.0,451741.0
3,2010,4,1113600.0,187962.0,111567.0,574300.0
4,2010,5,1039300.0,141336.0,188543.0,684411.0
5,2010,6,989800.0,145825.0,467916.0,646498.0
6,2010,7,1208000.0,182904.0,604540.0,779699.0
7,2010,8,1246300.0,168081.0,510827.0,911671.0
8,2010,9,968400.0,174157.0,202303.0,814773.0
9,2010,10,982700.0,184898.0,121545.0,704864.0
10,2010,11,784100.0,226455.0,95829.0,363596.0
11,2010,12,604100.0,345656.0,89308.0,316687.0
0,2011,1,589000.0,265553.0,101048.0,272072.0
1,2011,2,598400.0,268259.0,121087.0,318823.0
2,2011,3,758600.0,215553.0,139733.0,456495.0
3,2011,4,1231200.0,197777.0,119093.0,680660.0
4,2011,5,988800.0,140741.0,215249.0,778182.0
5,2011,6,1164500.0,131269.0,504168.0,758170.0
6,2011,7,1210200.0,176084.0,672409.0,879293.0
7,2011,8,1244000.0,175909.0,558470.0,995726.0
8,2011,9,1040500.0,219940.0,218177.0,880398.0
9,2011,10,1027700.0,215902.0,129460.0,742153.0
10,2011,11,830900.0,230292.0,104790.0,360599.0
11,2011,12,615500.0,364165.0,89592.0,289666.0
0,2012,1,647000.0,266839.0,148341.0,288740.0
1,2012,2,657000.0,259083.0,174679.0,324004.0
2,2012,3,833000.0,239929.0,178467.0,472148.0
3,2012,4,1322000.0,195668.0,145361.0,701420.0
4,2012,5,1208000.0,140841.0,285349.0,810613.0
5,2012,6,1146000.0,151074.0,762156.0,791764.0
6,2012,7,1297000.0,173539.0,1097088.0,911861.0
7,2012,8,1378000.0,178298.0,831943.0,995564.0
8,2012,9,1098000.0,179069.0,306242.0,914585.0
9,2012,10,1083000.0,184200.0,179355.0,758848.0
10,2012,12,660000.0,363959.0,133553.0,304649.0
0,2013,1,654000.0,260637.0,181318.0,302245.0
1,2013,2,645000.0,281233.0,241182.0,363163.0
2,2013,3,932000.0,270740.0,215177.0,555916.0
3,2013,4,1206000.0,200583.0,213149.0,702168.0
4,2013,5,1333000.0,153034.0,315163.0,935204.0
5,2013,6,1176000.0,159485.0,750411.0,902565.0
6,2013,7,1361000.0,183718.0,1071117.0,1009618.0
7,2013,8,1541000.0,189284.0,861354.0,1142259.0
8,2013,9,1151000.0,191056.0,342677.0,1029540.0
9,2013,10,1131000.0,194973.0,211596.0,864525.0
10,2013,11,944000.0,251060.0,169340.0,458678.0
11,2013,12,708000.0,381892.0,161313.0,358218.0
