,Year,Month,Thailand,Tunisia,Turkey
0,2010,1,1605505.0,378949.0,802874.0
1,2010,2,1614844.0,366506.0,945432.0
2,2010,3,1439401.0,496001.0,1387254.0
3,2010,4,1108209.0,542703.0,1645463.0
4,2010,5,826610.0,666134.0,2943305.0
5,2010,6,964959.0,812988.0,3253936.0
6,2010,7,1275766.0,1289008.0,4149790.0
7,2010,8,1270883.0,889094.0,3472662.0
8,2010,9,1214810.0,746061.0,3251599.0
9,2010,10,1316806.0,700502.0,2606032.0
10,2010,11,1478856.0,445232.0,1394180.0
11,2010,12,1819751.0,494897.0,1147282.0
0,2011,1,1805947.0,218468.0,962742.0
1,2011,2,1802476.0,232306.0,1060727.0
2,2011,3,1702233.0,304236.0,1569645.0
3,2011,4,1552337.0,374565.0,2168607.0
4,2011,5,1407407.0,412350.0,3048360.0
5,2011,6,1484708.0,591244.0,3536732.0
6,2011,7,1719538.0,867549.0,4287250.0
7,2011,8,1726559.0,604640.0,3750788.0
8,2011,9,1486333.0,706893.0,3603218.0
9,2011,10,1422210.0,563186.0,2736565.0
10,2011,11,1291548.0,445382.0,1441322.0
11,2011,12,1829174.0,424708.0,1177240.0
0,2012,1,1992158.0,366995.0,974907.0
1,2012,2,1853736.0,307976.0,989357.0
2,2012,3,1895560.0,437124.0,1438876.0
3,2012,4,1686268.0,534928.0,2080246.0
4,2012,5,1546888.0,561313.0,2996086.0
5,2012,6,1644733.0,727836.0,3611481.0
6,2012,7,1815714.0,935363.0,4245644.0
7,2012,8,1926929.0,878153.0,4150876.0
8,2012,9,1611754.0,742260.0,3681533.0
9,2012,10,1801147.0,582119.0,2776363.0
10,2012,11,2143550.0,437063.0,1503723.0
11,2012,12,2435466.0,488224.0,1320294.0
0,2013,1,2318447.0,338267.0,1082902.0
1,2013,2,2367257.0,303249.0,1252954.0
2,2013,3,2322200.0,469092.0,1800764.0
3,2013,4,2057855.0,512804.0,2313665.0
4,2013,5,1943968.0,619325.0,3577584.0
5,2013,6,2061782.0,825805.0,3852600.0
6,2013,7,2149173.0,844605.0,4297844.0
7,2013,8,2355660.0,1049169.0,4630885.0
8,2013,9,1995343.0,787073.0,3961762.0
9,2013,10,2054548.0,652706.0,3059421.0
10,2013,11,2378112.0,429041.0,1595286.0
11,2013,12,2542380.0,520611.0,1420893.0
0,2014,1,2282568.0,406242.0,1131370.0
1,2014,2,2075304.0,368162.0,1341273.0
2,2014,3,2018008.0,419300.0,1835306.0
3,2014,4,1934841.0,525787.0,2547176.0
4,2014,5,1670860.0,605415.0,3697968.0
5,2014,6,1491300.0,798701.0,4122713.0
6,2014,7,1896098.0,845049.0,4923351.0
7,2014,8,2084839.0,1096457.0,4999547.0
8,2014,9,1869491.0,714921.0,4081259.0
9,2014,10,2207775.0,561520.0,3141936.0
10,2014,11,2425123.0,374517.0,1649016.0
11,2014,12,2853476.0,447366.0,1553677.0
0,2015,1,2613699.0,340100.0,1236969.0
1,2015,2,2664216.0,283127.0,1370829.0
2,2015,3,2555362.0,400747.0,1870993.0
3,2015,4,2406727.0,404066.0,2322596.0
4,2015,5,2301625.0,507303.0,3615672.0
5,2015,6,2269523.0,534828.0,3897539.0
6,2015,7,2641514.0,608158.0,5229977.0
7,2015,8,2589652.0,771729.0,4883939.0
8,2015,9,2044658.0,412091.0,4004228.0
9,2015,10,2245841.0,390978.0,3078846.0
10,2015,11,2566077.0,302762.0,1645521.0
11,2015,12,3024291.0,403420.0,1455078.0
0,2016,1,2996442.0,276070.0,1166308.0
1,2016,2,3080535.0,258550.0,1236675.0
2,2016,3,2927226.0,297371.0,1630861.0
3,2016,4,2627809.0,314404.0,1706807.0
4,2016,5,2459093.0,418127.0,2389687.0
5,2016,6,2422998.0,416222.0,2334255.0
6,2016,7,2949102.0,823204.0,3398871.0
7,2016,8,2883594.0,983210.0,3099138.0
8,2016,9,2416821.0,543433.0,2771515.0
9,2016,10,2252775.0,480169.0,2369710.0
10,2016,11,2452457.0,376362.0,1335826.0
11,2016,12,3060736.0,536899.0,1297083.0
0,2017,1,3197053.0,312336.0,1050748.0
1,2017,2,2966522.0,347054.0,1156209.0
2,2017,3,3018411.0,456733.0,1577321.0
3,2017,4,2853288.0,453176.0,2036178.0
4,2017,5,2600624.0,503544.0,2842153.0
5,2017,6,2731072.0,488234.0,3444949.0
6,2017,7,3099409.0,995131.0,5029478.0
7,2017,8,3188148.0,1127413.0,4605687.0
8,2017,9,2600279.0,679685.0,4015830.0
9,2017,10,2725943.0,576019.0,2952300.0
10,2017,11,3039567.0,456570.0,1636364.0
11,2017,12,3571662.0,655918.0,1695956.0
0,2018,1,3531483.0,379438.0,1456565.0
1,2018,2,3552119.0,402935.0,1522544.0
2,2018,3,3494645.0,548983.0,2133293.0
3,2018,4,3096067.0,567577.0,2640454.0
4,2018,5,2737834.0,615106.0,3639663.0
5,2018,6,3013304.0,718878.0,4463483.0
6,2018,7,3177088.0,1132605.0,5617551.0
7,2018,8,3229031.0,1120870.0,5324115.0
8,2018,9,2636115.0,787381.0,4740564.0
9,2018,10,2704002.0,689745.0,3706478.0
10,2018,11,3170996.0,538114.0,1956870.0
11,2018,12,3835510.0,797408.0,1944591.0
0,2019,1,3718504.0,474145.0,1531907.0
1,2019,2,3603654.0,487196.0,1661673.0
2,2019,3,3473088.0,599824.0,2218764.0
3,2019,4,3195006.0,678039.0,3259536.0
4,2019,5,2726808.0,605501.0,3964026.0
5,2019,6,3052287.0,928946.0,5258786.0
6,2019,7,3327198.0,1273102.0,6540087.0
7,2019,8,3466456.0,1248319.0,6222620.0
8,2019,9,2902731.0,910252.0,5351724.0
9,2019,10,3074099.0,765458.0,4237349.0
10,2019,11,3386366.0,586451.0,2156382.0
11,2019,12,3947337.0,871816.0,2116714.0
0,2020,1,3810155.0,521206.0,1772120.0
1,2020,2,2061990.0,534197.0,1724771.0
2,2020,3,819429.0,239094.0,711670.0
3,2020,4,0.0,2280.0,21681.0
4,2020,5,0.0,4059.0,27739.0
