,Year,Month,Croatia,Denmark,Romania,Saudi Arabia
0,2010,1,41766.0,55930.00,66422.0,566273.24
1,2010,2,56191.0,64686.00,69296.0,768984.4
2,2010,3,122263.0,102569.00,87761.0,658233.24
3,2010,4,350252.0,119997.00,94560.0,1023462.96
4,2010,5,680273.0,184277.00,139000.0,610640.26
5,2010,6,1144083.0,218623.00,138543.0,732885.16
6,2010,7,2495882.0,429581.00,144090.0,984726.29
7,2010,8,2603188.0,320357.00,152785.0,1185018.29
8,2010,9,974355.0,151075.00,153053.0,1136120.38
9,2010,10,329234.0,131275.00,126478.0,405043.3
10,2010,11,96937.0,103837.00,100029.0,2327725.74
11,2010,12,72744.0,104627.00,71061.0,451206.62
0,2011,1,46472.0,65804.00,74709.0,564603.22
1,2011,2,61774.0,75288.00,75951.0,1078512.64
2,2011,3,109743.0,106846.00,95566.0,1178752.92
3,2011,4,448125.0,158004.00,109119.0,1579847.05
4,2011,5,614185.0,187430.00,146421.0,1139957.22
5,2011,6,1392290.0,265357.00,157167.0,1254307.48
6,2011,7,2630771.0,449804.00,166709.0,1488268.6
7,2011,8,2714929.0,320233.00,181333.0,1518738.56
8,2011,9,1153206.0,171042.00,170291.0,600486.43
9,2011,10,373789.0,133070.00,139660.0,547814.59
10,2011,11,99882.0,109830.00,111000.0,2472930.5
11,2011,12,77682.0,106597.00,86855.0,754465.0
0,2012,1,53980.0,72307.00,82610.0,957243.57
1,2012,2,58216.0,78706.00,78559.0,1397426.42
2,2012,3,139266.0,121584.00,109169.0,1655876.95
3,2012,4,452839.0,164786.00,121214.0,1361755.63
4,2012,5,748700.0,209498.00,172873.0,1434605.37
5,2012,6,1402670.0,257583.00,175584.0,1618067.15
6,2012,7,2644365.0,454225.00,188360.0,1999007.58
7,2012,8,2789999.0,326800.00,190246.0,1188891.29
8,2012,9,1293765.0,172004.00,173973.0,773710.9
9,2012,10,407371.0,137555.00,156478.0,2459289.63
10,2012,11,107066.0,119356.00,118430.0,693068.45
11,2012,12,81658.0,117854.00,85865.0,792612.62
0,2013,1,47461.0,78473.00,86355.0,1443834.17
1,2013,2,66373.0,84704.00,87786.0,1727231.76
2,2013,3,169438.0,142226.00,107777.0,1882059.39
3,2013,4,430382.0,148012.00,127663.0,1568597.34
4,2013,5,876941.0,227374.00,166391.0,1440642.49
5,2013,6,1471795.0,263580.00,178873.0,1384939.16
6,2013,7,2680225.0,461184.00,191887.0,1281282.02
7,2013,8,3079263.0,335835.00,197290.0,781720.57
8,2013,9,1300803.0,178538.00,194201.0,838342.16
9,2013,10,457545.0,149229.00,158808.0,1820856.99
10,2013,11,117640.0,125844.00,126658.0,613328.56
11,2013,12,93397.0,133819.00,90849.0,989463.02
0,2014,1,58009.0,94208.00,91305.0,1694329.0
1,2014,2,75147.0,91674.00,96404.0,1705061.0
2,2014,3,151047.0,134760.00,121147.0,1436299.0
3,2014,4,512586.0,179439.00,136323.0,1814662.0
4,2014,5,869532.0,236564.00,189513.0,1722037.0
5,2014,6,1651765.0,276052.00,205233.0,1780025.0
6,2014,7,2720803.0,466869.00,208752.0,1428565.0
7,2014,8,3330404.0,364246.00,220862.0,1168404.0
8,2014,9,1312472.0,192510.00,211711.0,1843042.0
9,2014,10,526072.0,160875.00,182248.0,1101422.0
10,2014,11,130484.0,127679.00,138021.0,970662.0
11,2014,12,114588.0,140571.00,110298.0,1595859.0
0,2015,1,75274.0,102937.00,103793.0,2247107.72
1,2015,2,91440.0,103300.00,108257.0,1704247.34
2,2015,3,189846.0,137585.00,143819.0,1533266.27
3,2015,4,531831.0,184191.00,160564.0,1574023.95
4,2015,5,1020231.0,248399.00,218981.0,1396368.3
5,2015,6,1704978.0,288283.00,241970.0,1534627.77
6,2015,7,3072271.0,496229.00,258225.0,1348413.13
7,2015,8,3577469.0,387122.00,274411.0,1056139.46
8,2015,9,1486042.0,210955.00,245919.0,2072749.83
9,2015,10,533497.0,191690.00,195652.0,769369.69
10,2015,11,137942.0,141501.00,154667.0,911195.01
11,2015,12,132147.0,138746.00,127974.0,1846716.49
0,2016,1,82120.0,107462.00,124094.0,1896442.0
1,2016,2,114368.0,120344.00,129636.0,2343481.0
2,2016,3,244292.0,169796.00,160473.0,1709112.0
3,2016,4,513539.0,176207.00,183165.0,1579568.0
4,2016,5,1036398.0,250430.00,249228.0,1506703.0
5,2016,6,1714272.0,290161.00,246943.0,1709906.0
6,2016,7,3641665.0,507022.00,272100.0,812809.0
7,2016,8,3707115.0,407229.00,293446.0,986099.0
8,2016,9,1701376.0,215717.00,271201.0,1970448.0
