,Year,Month,Germany,Mexico,Spain,United Arab Emirates
0,2010,1,1290923.0,1944306.0,2542841.04,
1,2010,2,1594220.0,1817356.0,2723363.41,
2,2010,3,1696355.0,2098005.0,3543400.35,
3,2010,4,2016894.0,1868964.0,3910779.12,
4,2010,5,2387081.0,1814825.0,5045676.36,
5,2010,6,2520157.0,1884455.0,5289108.49,
6,2010,7,3394996.0,2137583.0,6981416.92,
7,2010,8,3098706.0,1984764.0,6985291.08,
8,2010,9,2836594.0,1457830.0,5351469.57,
9,2010,10,2409609.0,1764811.0,4806009.36,
10,2010,11,1834325.0,1950317.0,2911186.67,
11,2010,12,1794951.0,2566532.0,2586430.42,
0,2011,1,1471150.0,2005567.0,2655822.53,
1,2011,2,1690228.0,1842366.0,2784270.88,
2,2011,3,1831277.0,2087202.0,3510048.58,
3,2011,4,2140758.0,1974037.0,4612689.13,
4,2011,5,2580625.0,1853656.0,5134990.44,
5,2011,6,2682364.0,1871668.0,5734891.03,
6,2011,7,3546765.0,2287727.0,7385628.46,
7,2011,8,3167727.0,1862398.0,7489514.81,
8,2011,9,2863697.0,1472709.0,5934028.65,
9,2011,10,2517485.0,1619025.0,5257085.84,
10,2011,11,1923318.0,1892000.0,3004607.18,
11,2011,12,1936129.0,2634907.0,2673306.28,
0,2012,1,1603608.0,1982372.0,2811020.74,
1,2012,2,1785637.0,1907938.0,2797619.63,
2,2012,3,2048307.0,2281063.0,3592387.32,
3,2012,4,2343905.0,1881522.0,4495693.21,
4,2012,5,2790026.0,1771293.0,5385212.32,
5,2012,6,2830680.0,1919281.0,5996189.77,
6,2012,7,3760604.0,2231649.0,7654573.42,
7,2012,8,3415879.0,1812105.0,7749331.88,
8,2012,9,3068357.0,1479487.0,6202105.7,
9,2012,10,2667434.0,1612251.0,5123303.41,
10,2012,11,2026025.0,1941881.0,3020767.06,
11,2012,12,2066857.0,2581704.0,2636291.5,
0,2013,1,1670291.0,2013825.0,2724784.08,
1,2013,2,1858802.0,1937436.0,2802651.52,
2,2013,3,2091388.0,2233021.0,3873907.38,
3,2013,4,2441858.0,1859874.0,4646791.04,
