Year,Month,Country,N_visitors
2010,1,Austria,2321719
2010,2,Austria,2441725
2010,3,Austria,2015283
2010,4,Austria,1205172
2010,5,Austria,1372359
2010,6,Austria,1576937
2010,7,Austria,2611357
2010,8,Austria,2708350
2010,9,Austria,1819056
2010,10,Austria,1261868
2010,11,Austria,774293
2010,12,Austria,1896147
2011,1,Austria,2457471
2011,2,Austria,2268516
2011,3,Austria,2137426
2011,4,Austria,1307422
2011,5,Austria,1230684
2011,6,Austria,1919433
2011,7,Austria,2740911
2011,8,Austria,2809765
2011,9,Austria,1973362
2011,10,Austria,1361856
2011,11,Austria,820460
2011,12,Austria,1984876
2012,1,Austria,2403380
2012,2,Austria,2584595
2012,3,Austria,2234347
2012,4,Austria,1338303
2012,5,Austria,1476444
2012,6,Austria,1895782
2012,7,Austria,2770403
2012,8,Austria,2950012
2012,9,Austria,2102107
2012,10,Austria,1363094
2012,11,Austria,886922
2012,12,Austria,2145387
2013,1,Austria,2251360
2013,2,Austria,2713514
2013,3,Austria,2569702
2013,4,Austria,1115629
2013,5,Austria,1592902
2013,6,Austria,1829805
2013,7,Austria,2846696
2013,8,Austria,3192813
2013,9,Austria,2066275
2013,10,Austria,1484993
2013,11,Austria,895979
2013,12,Austria,2253460
2014,1,Austria,2264415
2014,2,Austria,2499620
2014,3,Austria,2407651
2014,4,Austria,1443748
2014,5,Austria,1484411
2014,6,Austria,2131229
2014,7,Austria,2788080
2014,8,Austria,3373117
2014,9,Austria,2058334
2014,10,Austria,1606292
2014,11,Austria,949324
2014,12,Austria,2285150
2015,1,Austria,2507471
2015,2,Austria,2800490
2015,3,Austria,2260573
2015,4,Austria,1454146
2015,5,Austria,1734959
2015,6,Austria,2131798
2015,7,Austria,3195542
2015,8,Austria,3614678
2015,9,Austria,2223226
2015,10,Austria,1552832
2015,11,Austria,1028097
2015,12,Austria,2223822
2016,1,Austria,2625515
2016,2,Austria,2964128
2016,3,Austria,2754687
2016,4,Austria,1296852
2016,5,Austria,1829980
2016,6,Austria,2017305
2016,7,Austria,3495812
2016,8,Austria,3627923
2016,9,Austria,2426322
2016,10,Austria,1704344
2016,11,Austria,1065448
2016,12,Austria,2312328
2017,1,Austria,2584513
2017,2,Austria,3011912
2017,3,Austria,2470718
2017,4,Austria,1815494
2017,5,Austria,1696958
2017,6,Austria,2529600
2017,7,Austria,3712415
2017,8,Austria,3756512
2017,9,Austria,2504006
2017,10,Austria,1786429
2017,11,Austria,1110652
2017,12,Austria,2481126
2018,1,Austria,2686856
