Year,Month,Country,N_visitors
2010.0,1.0,Unnamed: 0,0.0
2010.0,1.0,Albania,
2010.0,1.0,Egypt,998440.0
2010.0,1.0,Morocco,
2010.0,1.0,Switzerland,535966.0
2010.0,2.0,Unnamed: 0,1.0
2010.0,2.0,Albania,
2010.0,2.0,Egypt,1018351.0
2010.0,2.0,Morocco,
2010.0,2.0,Switzerland,590856.0
2010.0,3.0,Unnamed: 0,2.0
2010.0,3.0,Albania,201181.0
2010.0,3.0,Egypt,1281102.0
2010.0,3.0,Morocco,
2010.0,3.0,Switzerland,661304.0
2010.0,4.0,Unnamed: 0,3.0
2010.0,4.0,Albania,
2010.0,4.0,Egypt,1179734.0
2010.0,4.0,Morocco,
2010.0,4.0,Switzerland,565775.0
2010.0,5.0,Unnamed: 0,4.0
2010.0,5.0,Albania,
2010.0,5.0,Egypt,1138059.0
2010.0,5.0,Morocco,
2010.0,5.0,Switzerland,717188.0
2010.0,6.0,Unnamed: 0,5.0
2010.0,6.0,Albania,397870.0
2010.0,6.0,Egypt,986352.0
2010.0,6.0,Morocco,
2010.0,6.0,Switzerland,885364.0
2010.0,7.0,Unnamed: 0,6.0
2010.0,7.0,Albania,
2010.0,7.0,Egypt,1254101.0
2010.0,7.0,Morocco,
2010.0,7.0,Switzerland,1104420.0
2010.0,8.0,Unnamed: 0,7.0
2010.0,8.0,Albania,
2010.0,8.0,Egypt,1100350.0
2010.0,8.0,Morocco,
2010.0,8.0,Switzerland,1060341.0
2010.0,9.0,Unnamed: 0,8.0
2010.0,9.0,Albania,1474650.0
2010.0,9.0,Egypt,1134360.0
2010.0,9.0,Morocco,
2010.0,9.0,Switzerland,874116.0
2010.0,10.0,Unnamed: 0,9.0
2010.0,10.0,Albania,
2010.0,10.0,Egypt,1419800.0
2010.0,10.0,Morocco,
2010.0,10.0,Switzerland,630714.0
2010.0,11.0,Unnamed: 0,10.0
2010.0,11.0,Albania,
2010.0,11.0,Egypt,1331836.0
2010.0,11.0,Morocco,
2010.0,11.0,Switzerland,470435.0
2010.0,12.0,Unnamed: 0,11.0
2010.0,12.0,Albania,343636.0
2010.0,12.0,Egypt,1208792.0
2010.0,12.0,Morocco,
2010.0,12.0,Switzerland,531805.0
2011.0,1.0,Unnamed: 0,0.0
2011.0,1.0,Albania,
2011.0,1.0,Egypt,1084160.0
2011.0,1.0,Morocco,586513.0
2011.0,1.0,Switzerland,555750.0
2011.0,2.0,Unnamed: 0,1.0
2011.0,2.0,Albania,
2011.0,2.0,Egypt,193773.0
2011.0,2.0,Morocco,598081.0
2011.0,2.0,Switzerland,572954.0
2011.0,3.0,Unnamed: 0,2.0
2011.0,3.0,Albania,289623.0
2011.0,3.0,Egypt,506674.0
2011.0,3.0,Morocco,648496.0
2011.0,3.0,Switzerland,668966.0
2011.0,4.0,Unnamed: 0,3.0
2011.0,4.0,Albania,
2011.0,4.0,Egypt,754461.0
2011.0,4.0,Morocco,783972.0
2011.0,4.0,Switzerland,602577.0
2011.0,5.0,Unnamed: 0,4.0
2011.0,5.0,Albania,
2011.0,5.0,Egypt,669941.0
2011.0,5.0,Morocco,643728.0
2011.0,5.0,Switzerland,723484.0
2011.0,6.0,Unnamed: 0,5.0
2011.0,6.0,Albania,555757.0
2011.0,6.0,Egypt,701860.0
2011.0,6.0,Morocco,941282.0
2011.0,6.0,Switzerland,911739.0
2011.0,7.0,Unnamed: 0,6.0
2011.0,7.0,Albania,
2011.0,7.0,Egypt,927326.0
2011.0,7.0,Morocco,1588674.0
2011.0,7.0,Switzerland,1084113.0
2011.0,8.0,Unnamed: 0,7.0
2011.0,8.0,Albania,
