Year,Month,Country,N_visitors,Population,Ref_country
2010,3,Albania,201181,2913021,ALB
2010,4,Albania,266744,2913021,ALB
2010,5,Albania,332307,2913021,ALB
2010,6,Albania,397870,2913021,ALB
2010,7,Albania,756797,2913021,ALB
2010,8,Albania,1115723,2913021,ALB
2010,9,Albania,1474650,2913021,ALB
2010,10,Albania,1097645,2913021,ALB
2010,11,Albania,720641,2913021,ALB
2010,12,Albania,343636,2913021,ALB
2011,1,Albania,325632,2905195,ALB
2011,2,Albania,307627,2905195,ALB
2011,3,Albania,289623,2905195,ALB
2011,4,Albania,378334,2905195,ALB
2011,5,Albania,467046,2905195,ALB
2011,6,Albania,555757,2905195,ALB
2011,7,Albania,922510,2905195,ALB
2011,8,Albania,1289264,2905195,ALB
2011,9,Albania,1656017,2905195,ALB
2011,10,Albania,1247590,2905195,ALB
2011,11,Albania,839162,2905195,ALB
2011,12,Albania,430735,2905195,ALB
2012,1,Albania,394401,2900401,ALB
2012,2,Albania,358068,2900401,ALB
2012,3,Albania,321734,2900401,ALB
2012,4,Albania,438435,2900401,ALB
2012,5,Albania,555135,2900401,ALB
2012,6,Albania,671836,2900401,ALB
2012,7,Albania,1124430,2900401,ALB
2012,8,Albania,1577024,2900401,ALB
2012,9,Albania,2029618,2900401,ALB
2012,10,Albania,1516571,2900401,ALB
2012,11,Albania,1003525,2900401,ALB
2012,12,Albania,490478,2900401,ALB
2013,1,Albania,454457,2895092,ALB
2013,2,Albania,418437,2895092,ALB
2013,3,Albania,382416,2895092,ALB
2013,4,Albania,472480,2895092,ALB
2013,5,Albania,562545,2895092,ALB
2013,6,Albania,652609,2895092,ALB
2013,7,Albania,993490,2895092,ALB
2013,8,Albania,1334370,2895092,ALB
2013,9,Albania,1675251,2895092,ALB
2013,10,Albania,1299071,2895092,ALB
2013,11,Albania,922892,2895092,ALB
2013,12,Albania,546712,2895092,ALB
2014,1,Albania,524853,2889104,ALB
2014,2,Albania,502995,2889104,ALB
2014,3,Albania,481136,2889104,ALB
2014,4,Albania,592489,2889104,ALB
2014,5,Albania,703843,2889104,ALB
2014,6,Albania,815196,2889104,ALB
2014,7,Albania,1136654,2889104,ALB
2014,8,Albania,1458111,2889104,ALB
2014,9,Albania,1779569,2889104,ALB
2014,10,Albania,1385276,2889104,ALB
2014,11,Albania,990983,2889104,ALB
2014,12,Albania,596690,2889104,ALB
2015,1,Albania,560217,2880703,ALB
2015,2,Albania,523744,2880703,ALB
2015,3,Albania,487271,2880703,ALB
2015,4,Albania,649301,2880703,ALB
2015,5,Albania,811332,2880703,ALB
2015,6,Albania,973362,2880703,ALB
2015,7,Albania,1317170,2880703,ALB
2015,8,Albania,1660978,2880703,ALB
2015,9,Albania,2004786,2880703,ALB
2015,10,Albania,1558465,2880703,ALB
2015,11,Albania,1112144,2880703,ALB
